"","X","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline","domestic","country","iso3","otherdate","url","InquiryEmail","otherdate_noyear","otherdate_day","otherdate_month","otherdate_asDate_ready","deadline_other","true_deadline","ft","myfields","positionsToKeep"
"1",802,"2018-02",111460310,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Canterbury","College of Business and Law","Department of Economics and Finance","Lecturer in Economics
Senior Lecturer in Economics
Associate Professor in Economics
","Lecturer/ Senior Lecturer/ Associate Professor in Economics","Department of Economics and Finance
College of Business and Law
<U+2022>Full-time (1.0 FTE)
<U+2022>Continuing (i.e. permanent) position

The Department of Economics and Finance invites applications for a continuing/tenured position at the grade of Lecturer/Senior Lecturer/Associate Professor in Economics (equivalent to Assistant Professor/Seasoned assistant professor/Associate Professor).

What You Will Do:

The actual position will be dependent on the successful candidate<U+2019>s qualifications and experience. A strong preference will be given to candidates with teaching and research interests in Applied Macroeconomics and/or Applied Economics (including International Trade). The role involves teaching at both the undergraduate and postgraduate level, undertaking post-graduate research supervision, contributing actively and positively to the research profile of the Department, and contributing to administrative activities.

Who You Are:

Candidates should have a completed PhD, or be close to obtaining a PhD, in Economics by the post start date. He/she should be able to demonstrate very good written and oral communication skills. Candidates for the Lecturer position should have the potential to publish in high-quality, internationally recognised academic journals. Candidates for senior lecturer and Associate Professor positions should have proven record of publications in such journals. All candidates should have good teaching skills and a commitment to quality teaching delivery; and be able and willing to contribute to College and professional service activities.

Who You Will Work With:

The Department of Economics and Finance is one of four constituent departments of the University of Canterbury<U+2019>s School of Business and Economics, which is one of New Zealand<U+2019>s leading business schools (AACSB, AMBA, CAANZ and CFA and PRMIA accredited). The Department has an establishment of 19 full-time Faculty, is research-focused and has a strong international representation among the faculty. The Department and School provide a collegial environment, and academic staff have access to generous internal research funding and sabbatical leave.

Why UC:

The University of Canterbury is committed to promoting a world-class learning environment through research and teaching excellence, and has a vision statement of <U+201C>People Prepared to Make a Difference<U+201D>.You will have the opportunity to work alongside members of a diverse academic community and enrich your own professional and personal development.

For information about the range of fantastic benefits that UC offers including flexible work practices, study opportunities and generous superannuation and leave provisions, please visit us: http://www.canterbury.ac.nz/joinus

View the full Position Description:

The closing date for this position is: Sunday, 12 August 2018 (midnight, NZ time).

How You Apply:

Applications for this position should include a cover letter, resume and any additional attachments combined into one document and submitted through the online application process. Unfortunately we do not accept applications by email, however we are happy to answer your queries in relation to the application process, please forward these to michelle.davies@canterbury.ac.nz, Recruitment Coordinator.

For further information about this role please contact (Associate Professor Richard Watt, richard.watt@canterbury.ac.nz). Please apply directly online at http://www.canterbury.ac.nz/joinus

Internal candidates should apply via the Careers option in Employee Self-Service: https://ucpeople.canterbury.ac.nz

The University of Canterbury is an EEO employer and actively seeks to meet its obligation under the Treaty of Waitangi.",NA,"C30433",NA,"NEW ZEALAND","A - General Economics and Teaching",2018-08-12,FALSE,"NEW ZEALAND","NZL","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460310","michelle.davies@canterbury.ac.nz",NA,NA,NA,NA,NA,2018-08-12,TRUE,TRUE,TRUE
"2",1028,"2018-02",111460294,"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)","World Bank Group","Poverty and Equity","Global Engagement","Development Economics, Applied Econometrics, Data Science","Data Scientist/Poverty Economist Consultant","The Data for Goals Team of the World Bank<U+2019>s Poverty and Equity Global Practice invites applications for a Data Scientist/Poverty Economist Consultant. The position is for up for 150 consulting days until June 2019, starting in September, 2018. The role requires outstanding STATA programming skills, and experience harmonizing and analyzing household surveys. Excellent knowledge of Excel macros is also required. The consultant will primarily support a team of data scientists in producing innovative data-based products on poverty and inequality. This work requires the ability to work under tight and sometimes shifting deadlines, so strong attention to detail and the ability to work as part of a team are a must. Tasks include archiving, harmonizing, cleaning, analyzing household survey data related to poverty, generating standard indicators, and creating visualizations. In some cases, the consultant may be asked to contribute and/or lead specialized research projects on poverty according to demand.  Interested candidates should submit their CV, a sample .do file, and a short cover letter (max. 700 characters) through the JOE no later than August 15, 2018.","$270 to $320 per day net of tax",NA,NA,"UNITED STATES District of Columbia Washington DC","O0 - General
Y1 - Data: Tables and Charts",2018-08-15,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460294","",NA,NA,NA,NA,NA,2018-08-15,FALSE,TRUE,TRUE
"3",984,"2018-02",111460275,"Full-Time Nonacademic","USAA",NA,NA,NA,"Quantitative Risk Analyst Senior - Modeling","USAA is looking for applied econometricians and statisticians who have experience developing models used in the financial services industry. The team includes Quantitative Risk Analysts at the Lead, Senior and entry levels (level I).

Minimum Requirements:
Depends on which position (Lead, Sr., or I) and ranges from recent Master<U+2019>s degree with some industry experience for the entry level I job to requirement for PhD and 4 years of work experience for the Lead job. 

Preferred Qualifications:
Experience developing statistical models at a bank, insurance or investment company.
Experience with credit risk modeling.
Experience in model operations function.
Masters or PhD degree in Economics with an econometric emphasis or in Statistics.
Proficiency in SAS or R and Python.  
",NA,NA,NA,"UNITED STATES Texas San Antonio","C1 - Econometric and Statistical Methods and Methodology:  General
C5 - Econometric Modeling",2018-08-31,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460275","",NA,NA,NA,NA,NA,2018-08-31,TRUE,TRUE,TRUE
"4",306,"2018-02",111460373,"Full-Time Nonacademic","Giant Oak, Inc.",NA,NA,"Text Analytics
Machine Learning
NLP
Econometrics
Policy evaluation","Social Scientist for Text and NLP","Giant Oak builds software to make the world a safer place. Giant Oak Search Technology (GOST<U+00AE>) makes screening easy by targeting the right kinds of information to help our customers combat fraud, detect crime, and enhance security. GOST<U+00AE> is the fastest, most reliable negative media search tool on the market because we see data differently. We look behind the numbers to see individuals and communities. And we strive to do our part to make the world a better, freer, and more secure place.

Giant Oak is hiring economists with applied skills in econometrics, policy evaluation, or experimental design to build, improve, and evaluate models for GOST. Applications will be evaluated on a rolling basis. Detailed job openings here: http://smrtr.io/GXdR, http://smrtr.io/GNWf
","120,000-160,000",NA,NA,"UNITED STATES Virginia Arlington","C1 - Econometric and Statistical Methods and Methodology:  General
C - Mathematical and Quantitative Methods
00 - Default: Any Field",2018-09-07,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460373","",NA,NA,NA,NA,NA,2018-09-07,TRUE,TRUE,TRUE
"5",530,"2018-02",111460265,"International: Other Academic (Visiting or Temporary)","OECD","Employment, Labour and Social Affairs Directorate",NA,"Labor, Future of Work","Future of Work Fellowship Scheme 2018/19","The OECD Future of Work Fellowship Scheme aims to promote new and innovative doctoral research in the fields of economics, statistics, sociology and other related social sciences which will provide better evidence to help policy makers across OECD countries respond to how challenges such as globalisation, demographics and technological change are affecting labour markets.

Each Fellow will be awarded a bursary of EUR 5,000 to support their research for a maximum period of 12 months (non-renewable). In addition, the OECD will finance the cost of one economy return ticket to Paris (as well as any accommodation costs) for the Fellows to come and present their work at the OECD (or to an alternative location should the OECD Secretariat decide so). 

Any PhD student and postdoctoral researcher currently enrolled at university may apply, regardless of the year they are in. Students on the job market are especially encouraged to apply. Fellows maintain their affiliation whilst they are completing their Fellowship and are not expected to spend any time at the OECD in Paris (except for when they come to present their work). The deadline is September 14, 2018.
","5000<U+20AC>",NA,NA,"FRANCE Paris","J - Labor and Demographic Economics",2018-09-14,FALSE,"FRANCE","FRA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460265","",NA,NA,NA,NA,NA,2018-09-14,FALSE,FALSE,TRUE
"6",578,"2018-02",111460342,"Full-Time Nonacademic","Promontory Financial Group","Quantitative Solutions",NA,"Consulting
Financial Services
Model Development
Model Validation","Associate/Principal","Promontory Financial Group, an IBM Company, seeks talented individuals at the Associate and Principal levels to contribute to the firm<U+2019>s global efforts to provide clients with solutions to challenging strategic, risk management, and regulatory compliance issues. We are seeking individuals to join our Quantitative Solutions Group, a growing team of specialists within Promontory who develop quantitative solutions to meet client needs. Travel and performance of work at client locations globally, for periods of time ranging from days to weeks, is typical.
 
We offer an attractive compensation package, including generous benefits.

If selected for the position, the successful candidate will be called upon to do some or all of the following:
<U+2022>	Play an active role in business development, client work, and other projects.
<U+2022>	Develop statistical, econometric or data-science models to evaluate and predict the economic performance, market value, and risk of financial products, including residential mortgages, personal loans, credit cards, auto loans, commercial mortgages, secured and unsecured commercial loans, equity investments, fixed income products, and various derivatives (including interest rate swaps and foreign exchange options, etc.), as well as structured financial products based upon these assets.
<U+2022>	Implement calculations related to regulatory capital requirements for large, complex financial institutions, including stress testing and risk-based capital requirements.
<U+2022>	Construct and analyze large datasets to support the evaluation of financial institution compliance with supervisory requirements relating to consumer protection, anti-money laundering, fraud, and privacy.
<U+2022>	Implement robust data sampling methods.
<U+2022>	Produce clear reports describing quantitative analytics projects and their results, interpreting them for both technical and non-technical audiences and relating them directly to significant business issues both orally and in writing.
 
Education and Experience Expectations:
<U+2022>	At least 2 years of relevant work experience or a graduate degree showing evidence of each of the following:
o	Writing reports or articles and making presentations on technical quantitative modeling topics for non-technical audiences.
o	Statistical. Econometric or machine learning modeling using large, complex consumer or business datasets.
o	Developing quantitative models for risk and performance segmentation and measurement.
o	Statistical programming using tools such as R, S+, SAS, Matlab or Python.
<U+2022>	A degree (PhD) in statistics, econometrics, quantitative finance, decision science, operations research, applied mathematics, or other relevant field.",NA,NA,NA,"UNITED STATES District of Columbia Washington
UNITED STATES New York New York","Y9 - Other",2018-09-14,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460342","",NA,NA,NA,NA,NA,2018-09-14,TRUE,TRUE,TRUE
"7",45,"2018-02",111460434,"International: Other Academic (Visiting or Temporary)","Australian National University","College of Business and Economics","Research School of Economics",NA,"Postdoctoral Fellow","Terms: Full-time, Fixed term (3 years)

The Research School of Economics (RSE) at The Australian National Univeristy (ANU) is seeking to appoint a world leading early career researcher with demonstrated experience in development economics, international economics or political economy.

Sitting within ANU College of Business and Economics (CBE), the RSE is one of Australia<U+2019>s premier research institutions and provides an outstanding environment for economic research. ANU has long been recognised as one of the leading centres in the world for economics research and education.  The school is home to experts in international trade, public finance, and macroeconomics with strong links to policy and political communities.

The ANU College of Business and Economics (CBE) educates the next generation of leaders, professional economists and academics. Our graduates have the knowledge and skills to lead organizations, design public policy, and research the big issues of business and economy. Located in the national capital, we engage deeply with the business and policy communities. Our academics lead public debate on the critical issues of our time through their research, which is both long term and strategic in focus. Our internationally diverse student body is evenly divided between undergraduate and postgraduate study, and we have a large doctoral program. Our alumni may be found in the world's leading companies, policy agencies and universities.

For further information about RSE please see our web site: https://www.rse.anu.edu.au/

For all enquiries please contact Professor Markus Brueckner, E: markus.brueckner@anu.edu.au 

The University actively encourages applications from Aboriginal and Torres Strait Islander people. For more information on employment opportunities, contact our Indigenous Employment Consultant on indigenous.employment@anu.edu.au 
ANU values diversity and inclusion and is committed to providing equal employment opportunities to those of all backgrounds and identities. For more information about staff equity at ANU, visit https://services.anu.edu.au/human-resources/respect-inclusion

Application information

In order to apply for this role please make sure that you upload the following documents:

A statement addressing the selection criteria
Job market paper
A current curriculum vitae (CV) 
Teaching evaluations
Letters of reference (3)
 

Applications which do not address the selection criteria may not be considered for the position.","AUD70,107 - 88,446 plus 17% Superannuation",NA,NA,"AUSTRALIA Australian Capital Territory Canberra","00 - Default: Any Field",2018-09-15,FALSE,"AUSTRALIA","AUS","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460434","markus.brueckner@anu.edu.au",NA,NA,NA,NA,NA,2018-09-15,FALSE,TRUE,TRUE
"8",219,"2018-02",111460321,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Duke University","Sanford School of Public Policy","Center for Child and Family Policy","Child Development, Public Policy","Pritzker Professor of Public Policy","The Sanford School of Public Policy and the Duke Center for Child and Family Policy invite applications for the Pritzker Professor of Public Policy. This position will carry tenure at the Sanford School of Public Policy at the rank of Associate or Full Professor is endowed by the J. B. and M. K. Pritzker Family Foundation. We seek a leading scholar in early child development and public policy. 

The Sanford School offers an undergraduate major, two masters programs, and a Ph.D. program. More information can be found at www.sanford.duke.edu and www.childandfamilypolicy.duke.edu. 

Applicants should submit a brief overview of her or his program of research and a CV to: https://academicjobsonline.org/ajo/jobs/11515.  Applications received by September 15, 2018, will be assured full consideration. 

Self-inquiries and nominations of candidates are encouraged and should be submitted to Anna Gassman-Pines, Search Committee Chair, at agassman.pines@duke.edu, or 919-613-7301.

Duke University is an Affirmative Action/Equal Opportunity Employer committed to providing employment opportunity without regard to an individual<U+2019>s age, color, disability, genetic information, gender, gender identity, national origin, race, religion, sexual orientation, or veteran status.
","Competitive",NA,NA,"UNITED STATES North Carolina Durham","00 - Default: Any Field",2018-09-15,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460321","agassman.pines@duke.edu",NA,NA,NA,NA,NA,2018-09-15,TRUE,TRUE,TRUE
"9",551,"2018-02",111460177,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Pontificia Universidad Cat<U+00F3>lica de Chile",NA,"Economics Department",NA,"Associate or Full Professor","The Economics Department at the Pontificia Universidad Cat<U+00F3>lica de Chile (www.economia.puc.cl) is seeking one faculty member at the Associate or Full Professor level. Candidates in any field will be considered. Starting date will be in July 2019.

Candidates should show an excellent record of research productivity and a capacity for effective teaching at the undergraduate and graduate level.

Applicants must submit a curriculum vitae, one research paper and three professional references including name, title, phone number and email address.

Selected candidates will be interviewed between September and December 2018.

For more information please write to Isidora Rivera, email: msrivera@uc.cl",NA,NA,NA,"CHILE Regi<U+00F3>n Metropolitana Santiago","00 - Default: Any Field",2018-09-15,FALSE,"CHILE","CHL","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460177","msrivera@uc.cl",NA,NA,NA,NA,NA,2018-09-15,TRUE,TRUE,FALSE
"10",361,"2018-02",111460283,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Indiana University","College of Arts and Sciences","Department of Economics","Macroeconomics","Associate Professor of Economics","The Department of Economics at Indiana University has authorization to make several tenure appointments at the rank of Associate Professor in the field of Macroeconomics. Candidates must have a completed Ph.D. and demonstrate the capacity for high-quality research and instruction at both undergraduate and graduate levels. To be certain of receiving full consideration, applications for the Associate Professor positions should be received by September 20, 2018. 

Applications must include six letters of recommendation and Curriculum Vitae.  Interested candidates should review application requirements and submit application at: https://indiana.peopleadmin.com/postings/6239. Questions regarding position or application process can be directed to Howard Swyers, Department of Economics, Wylie Hall 105, 100 S. Woodlawn Ave, Bloomington, IN 47405; (812)855-0836; econadmn@indiana.edu

The College of Arts and Sciences is committed to building and supporting a diverse, inclusive, and equitable community of students and scholars. Indiana University is an equal employment/affirmative action employer and provider of ADA services.  All qualified applicants will receive consideration for employment without regard to age, ethnicity, color, race, sex, sexual orientation or identity, national origin, disability status or protected veteran status.
","Competitive",NA,NA,"UNITED STATES Indiana Bloomington","E0 - General",2018-09-20,TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111460283","econadmn@indiana.edu",NA,NA,NA,NA,NA,2018-09-20,TRUE,TRUE,FALSE
