"","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline"
"1","2018-02",111461818,"Full-Time Nonacademic","Airbnb",NA,NA,NA,"Data Scientist, New Grad- Inference","About Airbnb
Our inference data scientists are deep in understanding the complications of running experiments in a two-sided marketplace, power analysis and stopping criterions, and statistical models to improve power/significance. Another interesting problem space is understanding what to do when we are unable to conduct experiments. How do we understand the impact of something new?

Some examples of projects we currently need help with:
-Develop experiments to reduce friction in the listing creation process for hosts
-Designing experiments to measure the lift when displaying hotel rooms on our platform
-Create product experiments (on service fees, early demand, etc) and measure the impact on market dynamics (such as competitors).
-Improve the statistical methodology behind our experimentation platform to ensure that our understanding of product changes is rigorous and accurate

Skills and Qualifications:
-PhD in Economics, finance, quantitative marketing or highly related field
-Solid understanding of statistics
-Ability to write clean and concise code, especially in R or Python
-Keen eye for detail and thoughtful investigation of data before relying upon it
-Ability to partner with cross-functional teams using strong written and verbal communication
",NA,NA,NA,"UNITED STATES California San Francisco","C1 - Econometric and Statistical Methods and Methodology:  General
D - Microeconomics","2019-01-31 00:00:00"
"2","2018-02",111461829,"Full-Time Nonacademic","American Society of Interior Designers",NA,"Research","market research, economic trends, business","Manager, Research","Executes various research initiatives dealing with knowledge generation, data analysis, management, and dissemination on behalf of the Society.  Also, manages the Society<U+2019>s knowledge generation and industry research initiatives (including research reports, environmental scanning and case studies) and serves as an expert on the business and economics of the interior design industry and profession. 

Qualifications:
<U+2022>Bachelor<U+2019>s Degree in Business, Economics, Statistics, or in Social Sciences 
<U+2022>5-7 years of experience with 3-5 years in an industry related to the built environment (i.e., interior design, architecture, facility management, construction, etc.) preferred
Experience with a statistical software package such as SPSS, SAS and/or R preferred but not required
<U+2022>Experience with Tableau or other data visualization tools preferred but not required
<U+2022>Expertise in research principles/practices and survey techniques (including both qualitative and quantitative methodologies)

See full description at https://www.asid.org/careers-at-asid.  To apply, please submit a cover letter, salary requirements and resume to jobs@asid.org.",NA,NA,NA,"UNITED STATES District of Columbia Washington, DC","Y - Miscellaneous Categories",NA
"3","2018-02",111461782,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Asia School of Business in Collaboration with MIT Sloan",NA,NA,"Macroeconomics
Finance
Accounting","Faculty Positions in Macroeconomics and Finance","Asia School of Business (ASB) - a partnership between the Central Bank of Malaysia and MIT Sloan School of Management - was founded in 2015 in Kuala Lumpur and has been recognized as having the most innovative MBA program in the world today by Poets & Quants. At ASB, we offer a multicultural and intellectually stimulating environment for scholars across different disciplines thanks to our commitment to people, ideas, and talent. We promote high-impact and actionable academic research and embrace scholarship from multiple disciplinary perspectives. 

All faculty members spend a summer as International Faculty Fellows at MIT Sloan focusing on teaching and research capabilities development under the guidance of an MIT Sloan faculty host and retain their MIT affiliations afterwards. ASB offers an internationally competitive compensation package, a very manageable teaching load, plus generous research funding, and strong teaching support staff. 

We favor applicants who can demonstrate the capacity for exceptional research achievement and the ability to teach effectively in MBA, EMBA, and Executive Education Programs. As a school, our goal is to develop transformative and principled leaders who will contribute to a better future and advance the emerging world.","150000",NA,NA,"MALAYSIA KL Kuala Lumpur","E - Macroeconomics and Monetary Economics
G - Financial Economics","2018-12-23 00:00:00"
"4","2018-02",111461910,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Ball State University",NA,"Department of Economics","Assistant Professor of Economics","Assistant Professor of Economics","The Department of Economics invites applications for two tenure-track positions at the rank of Assistant Professor starting August 16, 2019.  Responsibilities include maintaining an active research agenda and teaching undergraduate and MBA level classes in economics and statistics.

Minimum qualifications: ABD in economics or related field  from an accredited college or university.  

Employer will consider sponsorship.	

Preferred qualifications: Ph.D. in economics or a related field from an accredited institution with expertise in health economics, industrial organization, law and economics, or applied microeconomics. Strong research and teaching potential.

Apply online at: http://bsu.peopleadmin.com/postings/15387.  Include the following documents with your application:  cover letter addressed to Dr.  John Horowitz, Curriculum Vitae and job market paper.  Submit job market paper under Research Statement/Papers category.  Teaching statement and teaching evaluations may be uploaded to the Teaching Statement/Portfolio category.  Other materials such as a research statement or other research papers may be uploaded under the <U+201C>Other<U+201D> category.

Although the option to upload copies of transcripts is available in the application, an official, original transcript showing the highest related degree earned is required at time of hire. Additionally, a degree verification will be ordered at time of hire.

Review of applications will begin immediately and will be accepted through  December 14, 2018. 

EEO/AA Employer/Veterans/Disabled",NA,NA,NA,"UNITED STATES Indiana Muncie","A - General Economics and Teaching","2018-12-14 00:00:00"
"5","2018-02",111461827,"Full-Time Nonacademic","Bank of Lithuania",NA,NA,"Econometric Modeling
Economic Policy
Finance
Financial Markets
Global Economy
International Finance
Labor 
Macroeconomics
Macro-Finance
Monetary Policy","Researcher","The Bank of Lithuania is inviting applications for a position as Researcher at the Center for Excellence in Finance and Economic Research (CEFER), primarily at the senior level but we may also consider truly exceptional candidates at the junior level. The position is centered on research with minimal policy involvement and a small teaching load. CEFER constitutes the major nucleus for high-quality research in economics and finance in the country. 

CEFER is a joint venture with two largest public universities in Lithuania. In 2018 CEFER initiated a rigorous 3-year undergraduate degree in Quantitative Economics.

Requirements:
*A Ph.D. in economics, finance or related fields *Post-doc experience *Publication record commensurate with career stage *Teaching experience *Experience or willingness to attract third-party funding *Excellent written and verbal presentation skills in English

Please apply through the JOE. Alternatively, you can also send the following to ceferjobs@lb.lt:
*Cover letter
*CV (with a list of publications and working papers) *At least 2 letters of reference or for more senior applicants, names of the referees *Job market paper or for more senior applicants a recent major publication

Salaries will be competitive at the European level. Generous research budgets and excellent working conditions will be provided.",NA,NA,NA,"LITHUANIA Vilnius","00 - Default: Any Field","2018-12-03 00:00:00"
"6","2018-02",111461701,"Full-Time Nonacademic","Bates White Economic Consulting",NA,NA,"Machine Learning
Big data
Econometrics","Economist","Bates White, located in Washington, DC, is seeking PhD candidates and experienced PhDs to work closely with senior staff and partners on high-profile engagements. Responsibilities include developing analytical frameworks for big data, designing machine learning tools, and tackling complex empirical problems. We seek candidates who think creatively about economic problems and who enjoy conveying solutions to non-economists.

Bates White specializes in providing advanced economic, financial, and econometric analysis to law firms, companies, and government agencies. We help clients tackle tough issues with confidence and pride ourselves on delivering top-notch consulting and expert testimony. But what makes us successful is our commitment to providing a positive and rewarding experience<U+2014>for our employees, our clients, and the community. 

The firm is recognized by leading academics and professionals as a premier place to work. Bates White has an innovative and entrepreneurial culture where bright minds from diverse backgrounds come together to solve difficult challenges facing legal, business, and government decision makers in the United States and around the world. In addition, the firm maintains strong relationships with key academics and industry experts. We are seeking individuals who specialize in:  industrial organization, applied econometrics, applied microeconomics, financial economics, labor, healthcare, and big data and machine learning. 

Bates White is deeply committed to providing a quality work experience and fostering and maintaining a diverse workforce and an inclusive culture. This is evidenced in the firm<U+2019>s academic focus, career development programs, and employee engagement activities (e.g., women<U+2019>s network, community initiatives, and diversity-inclusion programs). Furthermore, Bates White rewards employees with highly competitive compensation and benefit programs. 
",NA,NA,NA,"UNITED STATES District of Columbia Washington","C1 - Econometric and Statistical Methods and Methodology:  General
C0 - General
C5 - Econometric Modeling","2018-11-21 00:00:00"
"7","2018-02",111461741,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Bloomsburg University of Pennsylvania",NA,"Economics",NA,"Assistant Professor - Economics","The Department of Economics at Bloomsburg University of Pennsylvania invites applications for a full-time tenure-track position at the rank of assistant professor (AA# 40-7-526). The appointment will begin in Fall 2019. The department is particularly interested in candidates with a demonstrated teaching/research interest in Industrial Organization. 

Qualified candidates with a Ph.D. in Economics are preferred. Candidates expecting to complete their Ph.D. by August 16, 2019 will also be considered. The successful candidate is expected to pursue scholarly research leading to publications in peer-reviewed journals; increase the visibility of the economics programs; serve on department, college, and university-level committees; advise students; and participate in curriculum review and enhancement activities. Preference will be given to qualified candidates who have demonstrated the ability to work with diverse populations, excellence in teaching as evidenced by peer and student evaluations, and the potential for continued scholarly growth.  

To apply, please visit http://agency.governmentjobs.com/bloomuedu/default.cfm. Applicants must include a cover letter, curriculum vitae, job market paper, copies of graduate transcript(s), and relevant teaching statements and/or evaluations. Three letters of reference should be sent directly to the Chair of the search committee at econsearch@bloomu.edu. EEO Employer",NA,NA,NA,"UNITED STATES Pennsylvania Bloomsburg","A - General Economics and Teaching","2018-12-01 00:00:00"
"8","2018-02",111461739,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Bogazici University",NA,"Economics",NA,"Assistant/Associate/Full Professor of Economics","The Department of Economics invites applicants for full-time faculty positions at any rank. The candidates should demonstrate strong commitment to scholarly research and high quality teaching. The medium of instruction is English. A PhD is required at the time of appointment.

Applicants should submit a cover letter, CV, samples of written work, three letters of reference, and teaching evaluations (if available) for a complete file. Selected applicants with complete application files will be contacted for interviews during the ASSA meetings in Atlanta. Please submit your application by December 1, 2018. If you have any questions, you may contact us at econrecruitment@boun.edu.tr.",NA,NA,NA,"TURKEY Istanbul","00 - Default: Any Field","2018-12-01 00:00:00"
"9","2018-02",111461828,"US: Other Academic (Part-time or Adjunct)","Brandeis University",NA,"University Writing Program",NA,"Full-Time Lecturer for the University Writing Program","The University Writing Program at Brandeis University invites applications for a full-time lecturer with a background in writing about quantitative data, beginning Fall 2019. Candidates must demonstrate commitment to, and excellence in, undergraduate teaching as well as experience in the teaching of writing. Ph.D. is required in a relevant discipline. The position is benefits-eligible and outside the tenure structure. The initial appointment could be up to three years, with the possibility of renewal.

The successful candidate will be an innovative instructor responsible for teaching three first-year topic-based writing seminars per semester, who will develop course topics with an emphasis on interdisciplinarity.

Brandeis is a Research I institution with a strong liberal arts program and an emphasis on teaching excellence. We believe that diversity, equity, and inclusion are essential components of academic excellence. Brandeis University is an affirmative action, equal opportunity employer committed to creating equitable access and opportunities for applicants to all employment positions.							

Applicants should submit, by 7 December 2018 for first consideration: letter of application; curriculum vitae; three letters of recommendation; a statement of teaching; a sample course syllabus; and an extended writing sample.

For additional information see: https://academicjobsonline.org/ajo/jobs/12325.
",NA,NA,NA,"UNITED STATES","00 - Default: Any Field",NA
"10","2018-02",111461850,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","California Institute of Technology","Division of the Humanities and Social Sciences",NA,"Experimental economics
Economic history","Assistant Professor of Economics","The Division of the Humanities and Social Sciences at the California Institute of Technology (Caltech) invites applications for a tenure-track position in economics at the assistant professor level. Exceptionally well-qualified applicants at higher levels may also be considered. Our search is focused in the areas of experimental economics and economic history, although applicants in other areas will also be considered.   We are seeking highly qualified candidates who are committed to a career in research and teaching.  The term of an initial untenured appointment is four years, and the appointment is contingent upon completion of the Ph.D.

Interested candidates should apply electronically: https://applications.caltech.edu/job/econ
Candidates unable to apply electronically may send a letter of application describing their current research, a teaching statement, three letters of recommendation, current CV, and a sample of original written work to: Chair, Economics Search, HSS 228-77 Caltech, Pasadena, CA 91125.

Application review will begin November 20, 2018 and applications will be accepted until the position is filled.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin, disability status, protected veteran status, or any other characteristic protected by law.
",NA,"Econ2018-19",NA,"UNITED STATES California Pasadena","A - General Economics and Teaching",NA
